participant.label,survey.1.player.package_UBI,survey.1.player.package_penalty,survey.1.player.package_weight_loss,survey.1.player.first_topic,survey.1.player.second_topic,survey.1.player.third_topic,survey.1.player.message_order_UBI,survey.1.player.message_order_penalty,survey.1.player.message_order_weight_loss,survey.1.player.UBI_statement_formulation,survey.1.player.penalty_statement_formulation,survey.1.player.weight_loss_statement_formulation,survey.1.player.big1,survey.1.player.big2,survey.1.player.big3,survey.1.player.big4,survey.1.player.big5,survey.1.player.big6,survey.1.player.big7,survey.1.player.big8,survey.1.player.big9,survey.1.player.big10,survey.1.player.age,survey.1.player.gender,survey.1.player.ethnicity,survey.1.player.country_of_birth,survey.1.player.country_of_residency,survey.1.player.student_status,survey.1.player.employment_status,survey.1.player.occupation_field,survey.1.player.highest_qualification,survey.1.player.init_belief_UBI,survey.1.player.init_belief_penalty,survey.1.player.init_belief_weight_loss,survey.1.player.familiarity_UBI,survey.1.player.familiarity_penalty,survey.1.player.familiarity_weight_loss
P0004,package1,package1,package2,UBI,penalty,weight_loss,1,3,5,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,2,1,-1,1,-1,-1,-1,2,-1,2,53,0,0,GB,GB,3,1,Health and social care,3,2,1,-2,0,2,1
P0130,package1,package1,package3,penalty,weight_loss,UBI,0,5,2,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,0,2,1,2,-1,2,-2,2,-2,-1,57,1,0,GB,GB,3,0,Education,3,-2,-1,2,0,2,0
P0135,package1,package2,package1,weight_loss,UBI,penalty,3,3,2,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-2,1,-2,2,-2,2,-2,2,-2,2,53,1,0,GB,GB,3,0,Manufacturing CIO,5,-2,2,1,2,2,2
P0005,package1,package2,package2,penalty,weight_loss,UBI,2,0,1,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-1,2,-1,1,-2,1,-1,2,-1,1,58,0,0,GB,GB,3,1,lecturer,6,-1,1,1,-2,2,0
P0111,package1,package3,package3,UBI,weight_loss,penalty,1,1,1,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,2,-2,-1,-1,-1,0,1,2,0,55,0,0,GB,GB,3,2,sole trader,2,0,-1,-1,-2,2,-1
P0269,package2,package1,package1,UBI,weight_loss,penalty,0,2,1,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,-1,2,-2,2,-2,1,-2,2,-2,1,75,0,0,GB,GB,3,0,IT Project Management,2,-1,2,1,-1,0,-1
P0287,package2,package1,package2,penalty,UBI,weight_loss,5,1,2,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-1,2,-1,1,-1,1,-1,2,2,2,32,0,0,GB,GB,1,1,Receptionist,3,0,0,-1,-1,-2,0
P0123,package2,package1,package3,penalty,weight_loss,UBI,5,4,0,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,-1,1,1,-1,-2,0,2,2,1,26,0,0,GB,GB,3,1,Game developer,4,0,0,-1,-2,-1,-1
P0324,package2,package2,package1,penalty,UBI,weight_loss,2,3,5,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,2,1,1,-1,-2,-1,-1,1,2,2,31,0,0,GB,GB,3,2,Data Annotator ,3,-1,1,1,-1,1,-1
P0302,package2,package2,package2,weight_loss,penalty,UBI,0,2,2,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,-1,-1,0,1,0,0,0,1,-1,1,49,0,0,GB,GB,1,0,IT,4,-1,0,2,-1,-2,2
